#{"t_start": 1674316415.0256553, "env_id": "gripper-env-v0"}
r,l,t
9097.814404,6,5300.67842
9297.286451,5,5301.994504
8913.593093,8,5303.545012
9697.8278,3,5304.944001
9297.613709,5,5306.377529
9098.177792,6,5307.945149
8597.112871,9,5309.595072
9298.220216,5,5310.960706
9298.042748,5,5312.311439
9494.031126,4,5313.611623
10000.0,1,5314.8439
-40000.0,200,5328.711238
-40000.0,200,5342.661604
9297.549092,5,5344.06153
9099.839,6,5345.478441
9100.000072,6,5346.877666
9499.235518,4,5348.160938
9698.35005,3,5349.461004
9497.59937,4,5350.896446
9298.585292,5,5352.294787
9698.34456,3,5353.594013
9493.826788,4,5355.778376
1699.302293,43,5359.311719
8892.160482,7,5361.161917
8298.349426,10,5362.879526
9097.831635,6,5364.277297
9097.468401,6,5365.712403
9099.309711,6,5367.227748
6098.552169,21,5370.312416
8713.445079,9,5371.961688
9498.338066,4,5373.327766
10000.0,1,5374.494558
-40000.0,200,5388.561227
-40000.0,200,5401.644621
9098.453302,6,5403.12816
9098.410632,6,5404.627575
9698.323135,3,5405.927599
9292.957206,5,5407.311385
9302.538942,5,5408.661005
-1303.985752,59,5415.061061
9299.781133,5,5416.46084
